1) How many hours of sleep do you get per day?,a) 1-3,b) 4-6,c) 6-8,d) 8+
2) How many meals do you eat per day?,a) 1,b) 2,c) 3,d) 4+
3) How would you describe your emotional health right now?,a) Very Poor,b) Poor,c) Good,d) Very Good
4) How many hours of sleep per day?,a) 1,b) 3,c) 6.7,d) 11!
5) How much do you weigh?,a) 71-100 lbs.,b) 101 pounds - 500 billion tons,c) $20,d) 80 cows
6) What is your favorite fluid?,a) Water,b) Druid,c) Cow's milk,d) Goat milk
7) What's your favorite color?,a) Brown,b) Pink,c) Dark Pink,d) Pain
8) How many exercise have you had today? Please express your answer in FEEL.,a) :),b) :(,c) >:C,d) K&*(
9) Hair type?,a) Wavy,b) missing,c) Cold,d) :(
10) Favorite drinking style?,a) Sip,b) Gulp,c) Glug glug glug!,d) AAIEUPIEJAIEIOEIPOUUUU
11) Which country has the highest incarceration rate?,a) USA,b) USB,c) Nepal,d) South Blamerica
12) You have to care for GRISWOLD. Do you do it?,a) Yes,b)Thinking about it.,c) Hmmm.........nope!
13) Favorite food?,a) Cow,b) :),c) :),d) :(
14) What’s your favorite trigonometric identity?,a) Cosine,b) Sine = SIN,c) Tangential of the integrable derivative,d) See? can't.
15) True Or False: 100% of gambling addicts quit before they win 500 quintillion billion dollars.,a) True,b) false
16) Who is the greatest musical artist of all time?,a) Weird Al,b) Weird Al,c) Weird Al,d) Weird Al
17) Born before or after the Great Fall?,a) After,b) During,c) Before
18) Do you have any regrets? If so... why?,a) Yes,b) No
19) Are you sure?,a) Yes,b) No
20) ARE YOU SURE?,a) Yes,b) No
21) Ok.,a) ok
